Source,Target
1,2
1,5
1,8
1,9
1,22
2,1
2,3
2,5
2,10
3,2
3,4
3,9
3,10
4,3
4,5
4,7
4,10
5,1
5,2
5,4
5,6
5,10
6,5
6,7
6,8
6,10
6,11
7,4
7,6
7,8
7,10
8,1
8,6
8,7
8,9
8,11
9,1
9,3
9,8
10,2
10,3
10,4
10,5
10,6
10,7
11,6
11,8
11,12
11,13
12,11
12,13
12,17
12,20
13,11
13,12
13,14
13,17
14,13
14,15
14,17
14,19
14,21
15,14
15,16
16,15
16,17
17,12
17,13
17,14
17,16
17,18
17,20
17,21
18,17
18,19
18,20
19,14
19,18
19,20
20,12
20,17
20,18
20,19
20,21
21,14
21,17
21,20
22,1
22,23
22,26
23,22
23,24
23,25
24,23
24,25
24,26
25,23
25,24
25,26
26,22
26,24
26,25
