Manager,Gender,Age,Education,Legacy_Organization,Self_Monitoring,Brokerage_Orientation,Favor_Merger
1,F,30,MBA,None,5,TI,N/A
2,F,25,MSc,Brightway,2,TG,Y
3,M,40,MSc,Genesisphere,1,TG,Y
4,F,42,MBA,None,3,TI,N/A
5,F,54,MSc,Brightway,4,TG,Y
6,M,36,BSc,Brightway,4,TI,Y
7,M,51,MSc,Brightway,5,TI,Y
8,M,27,BSc,Brightway,1,TG,N
9,F,38,BSc,Brightway,2,TI,Y
10,F,47,PhD,Brightway,3,TG,Y
11,M,54,MBA,Brightway,1,TG,N
12,F,29,MSc,Genesisphere,3,TI,N
13,M,31,PhD,Genesisphere,3,TI,N
14,M,43,MSc,Genesisphere,4,TI,N
15,F,52,BSc,None,4,TI,N/A
16,F,49,MSc,Genesisphere,5,TI,N
17,F,31,MBA,Genesisphere,4,TI,Y
18,M,27,MSc,Genesisphere,2,TI,N
19,F,45,PhD,Brightway,5,TI,Y
20,F,34,MSc,None,4,TI,N/A
21,M,41,MBA,Brightway,3,TI,N
22,M,23,BSc,None,2,TG,N/A
23,M,22,BSc,None,1,TI,N/A
24,F,24,MSc,None,5,TI,N/A
25,F,22,BSc,None,1,TG,N/A
26,M,24,MSc,None,5,TI,N/A
